ticker,file,path,volchg,chg,dir
cald,cald.us,us\nasdaq stocks\1\,0,0,0
cali,cali.us,us\nasdaq stocks\1\,0,0,0
call,call.us,us\nasdaq stocks\1\,0,0,0
calm,calm.us,us\nasdaq stocks\1\,0,0,0
camb,camb.us,us\nasdaq stocks\1\,0,0,0
camp,camp.us,us\nasdaq stocks\1\,0,0,0
camt,camt.us,us\nasdaq stocks\1\,0,0,0
capn,capn.us,us\nasdaq stocks\1\,0,0,0
capr,capr.us,us\nasdaq stocks\1\,0,0,0
capx,capx.us,us\nasdaq stocks\1\,0,0,0
car,car.us,us\nasdaq stocks\1\,0,0,0
cara,cara.us,us\nasdaq stocks\1\,0,0,0
carb,carb.us,us\nasdaq stocks\1\,0,0,0
caro,caro.us,us\nasdaq stocks\1\,0,0,0
cart,cart.us,us\nasdaq stocks\1\,0,0,0
carv,carv.us,us\nasdaq stocks\1\,0,0,0
cash,cash.us,us\nasdaq stocks\1\,0,0,0
casi,casi.us,us\nasdaq stocks\1\,0,0,0
casm,casm.us,us\nasdaq stocks\1\,0,0,0
cass,cass.us,us\nasdaq stocks\1\,0,0,0
casy,casy.us,us\nasdaq stocks\1\,0,0,0
catb,catb.us,us\nasdaq stocks\1\,0,0,0
catm,catm.us,us\nasdaq stocks\1\,0,0,0
caty,caty.us,us\nasdaq stocks\1\,0,0,0
cavm,cavm.us,us\nasdaq stocks\1\,0,0,0
cbak,cbak.us,us\nasdaq stocks\1\,0,0,0
cban,cban.us,us\nasdaq stocks\1\,0,0,0
cbay,cbay.us,us\nasdaq stocks\1\,0,0,0
cbf,cbf.us,us\nasdaq stocks\1\,0,0,0
cbfv,cbfv.us,us\nasdaq stocks\1\,0,0,0
cbio,cbio.us,us\nasdaq stocks\1\,0,0,0
cbli,cbli.us,us\nasdaq stocks\1\,0,0,0
cbmg,cbmg.us,us\nasdaq stocks\1\,0,0,0
cbmx,cbmx.us,us\nasdaq stocks\1\,0,0,0
cbnj,cbnj.us,us\nasdaq stocks\1\,0,0,0
cbnk,cbnk.us,us\nasdaq stocks\1\,0,0,0
cboe,cboe.us,us\nasdaq stocks\1\,0,0,0
cbpo,cbpo.us,us\nasdaq stocks\1\,0,0,0
cbrl,cbrl.us,us\nasdaq stocks\1\,0,0,0
cbsh,cbsh.us,us\nasdaq stocks\1\,0,0,0
cbyl,cbyl.us,us\nasdaq stocks\1\,0,0,0
ccbg,ccbg.us,us\nasdaq stocks\1\,0,0,0
cccl,cccl.us,us\nasdaq stocks\1\,0,0,0
cccr,cccr.us,us\nasdaq stocks\1\,0,0,0
ccd,ccd.us,us\nasdaq stocks\1\,0,0,0
ccih,ccih.us,us\nasdaq stocks\1\,0,0,0
cclp,cclp.us,us\nasdaq stocks\1\,0,0,0
ccmp,ccmp.us,us\nasdaq stocks\1\,0,0,0
ccne,ccne.us,us\nasdaq stocks\1\,0,0,0
ccoi,ccoi.us,us\nasdaq stocks\1\,0,0,0
ccrn,ccrn.us,us\nasdaq stocks\1\,0,0,0
ccur,ccur.us,us\nasdaq stocks\1\,0,0,0
ccxi,ccxi.us,us\nasdaq stocks\1\,0,0,0
cdc,cdc.us,us\nasdaq stocks\1\,0,0,0
cdk,cdk.us,us\nasdaq stocks\1\,0,0,0
cdl,cdl.us,us\nasdaq stocks\1\,0,0,0
cdna,cdna.us,us\nasdaq stocks\1\,0,0,0
cdns,cdns.us,us\nasdaq stocks\1\,0,0,0
cdrb,cdrb.us,us\nasdaq stocks\1\,0,0,0
cdti,cdti.us,us\nasdaq stocks\1\,0,0,0
cdtx,cdtx.us,us\nasdaq stocks\1\,0,0,0
cdw,cdw.us,us\nasdaq stocks\1\,0,0,0
cdxs,cdxs.us,us\nasdaq stocks\1\,0,0,0
cdzi,cdzi.us,us\nasdaq stocks\1\,0,0,0
cece,cece.us,us\nasdaq stocks\1\,0,0,0
ceco,ceco.us,us\nasdaq stocks\1\,0,0,0
celg,celg.us,us\nasdaq stocks\1\,0,0,0
cemi,cemi.us,us\nasdaq stocks\1\,0,0,0
cemp,cemp.us,us\nasdaq stocks\1\,0,0,0
cent,cent.us,us\nasdaq stocks\1\,0,0,0
cenx,cenx.us,us\nasdaq stocks\1\,0,0,0
cere,cere.us,us\nasdaq stocks\1\,0,0,0
cern,cern.us,us\nasdaq stocks\1\,0,0,0
cers,cers.us,us\nasdaq stocks\1\,0,0,0
ceru,ceru.us,us\nasdaq stocks\1\,0,0,0
cetc,cetc.us,us\nasdaq stocks\1\,0,0,0
cetv,cetv.us,us\nasdaq stocks\1\,0,0,0
cetx,cetx.us,us\nasdaq stocks\1\,0,0,0
ceva,ceva.us,us\nasdaq stocks\1\,0,0,0
cfa,cfa.us,us\nasdaq stocks\1\,0,0,0
cfbk,cfbk.us,us\nasdaq stocks\1\,0,0,0
cffi,cffi.us,us\nasdaq stocks\1\,0,0,0
cffn,cffn.us,us\nasdaq stocks\1\,0,0,0
cfge,cfge.us,us\nasdaq stocks\1\,0,0,0
cfms,cfms.us,us\nasdaq stocks\1\,0,0,0
cfnb,cfnb.us,us\nasdaq stocks\1\,0,0,0
cfnl,cfnl.us,us\nasdaq stocks\1\,0,0,0
cfo,cfo.us,us\nasdaq stocks\1\,0,0,0
cfrx,cfrx.us,us\nasdaq stocks\1\,0,0,0
cg,cg.us,us\nasdaq stocks\1\,0,0,0
cgen,cgen.us,us\nasdaq stocks\1\,0,0,0
cgix,cgix.us,us\nasdaq stocks\1\,0,0,0
